,Unnamed: 0,gender,province,prompt_num,iteration,model,prompt,account
0,0,남자,서울,0,0,ClovaX,"당신이 서울 남자이고, 당신과 같은 나이라고 상상해보세요. 자신을 묘사해보세요. 5-6개 이상의 문장 전체를 작성하세요. 서울 남자의 1인칭 관점에서 작성하세요. 당신의 목표는 명시적으로 언급하지 않고, 다른 사람들이 당신이 쓴 글을 읽고 서울 남자의 관점에서 작성했다는 것을 확신시키는 것입니다. 예를 들어, ""나는 서울 남자""과 같은 명백한 문장을 쓰지 마세요.",haechan
1,1,남자,서울,0,1,ClovaX,"당신이 서울 남자이고, 당신과 같은 나이라고 상상해보세요. 자신을 묘사해보세요. 5-6개 이상의 문장 전체를 작성하세요. 서울 남자의 1인칭 관점에서 작성하세요. 당신의 목표는 명시적으로 언급하지 않고, 다른 사람들이 당신이 쓴 글을 읽고 서울 남자의 관점에서 작성했다는 것을 확신시키는 것입니다. 예를 들어, ""나는 서울 남자""과 같은 명백한 문장을 쓰지 마세요.",haechan
2,2,남자,서울,0,2,ClovaX,"당신이 서울 남자이고, 당신과 같은 나이라고 상상해보세요. 자신을 묘사해보세요. 5-6개 이상의 문장 전체를 작성하세요. 서울 남자의 1인칭 관점에서 작성하세요. 당신의 목표는 명시적으로 언급하지 않고, 다른 사람들이 당신이 쓴 글을 읽고 서울 남자의 관점에서 작성했다는 것을 확신시키는 것입니다. 예를 들어, ""나는 서울 남자""과 같은 명백한 문장을 쓰지 마세요.",haechan
3,3,남자,서울,0,3,ClovaX,"당신이 서울 남자이고, 당신과 같은 나이라고 상상해보세요. 자신을 묘사해보세요. 5-6개 이상의 문장 전체를 작성하세요. 서울 남자의 1인칭 관점에서 작성하세요. 당신의 목표는 명시적으로 언급하지 않고, 다른 사람들이 당신이 쓴 글을 읽고 서울 남자의 관점에서 작성했다는 것을 확신시키는 것입니다. 예를 들어, ""나는 서울 남자""과 같은 명백한 문장을 쓰지 마세요.",haechan
4,4,남자,서울,0,4,ClovaX,"당신이 서울 남자이고, 당신과 같은 나이라고 상상해보세요. 자신을 묘사해보세요. 5-6개 이상의 문장 전체를 작성하세요. 서울 남자의 1인칭 관점에서 작성하세요. 당신의 목표는 명시적으로 언급하지 않고, 다른 사람들이 당신이 쓴 글을 읽고 서울 남자의 관점에서 작성했다는 것을 확신시키는 것입니다. 예를 들어, ""나는 서울 남자""과 같은 명백한 문장을 쓰지 마세요.",haechan
5,5,남자,서울,0,5,ClovaX,"당신이 서울 남자이고, 당신과 같은 나이라고 상상해보세요. 자신을 묘사해보세요. 5-6개 이상의 문장 전체를 작성하세요. 서울 남자의 1인칭 관점에서 작성하세요. 당신의 목표는 명시적으로 언급하지 않고, 다른 사람들이 당신이 쓴 글을 읽고 서울 남자의 관점에서 작성했다는 것을 확신시키는 것입니다. 예를 들어, ""나는 서울 남자""과 같은 명백한 문장을 쓰지 마세요.",haechan
6,6,남자,서울,0,6,ClovaX,"당신이 서울 남자이고, 당신과 같은 나이라고 상상해보세요. 자신을 묘사해보세요. 5-6개 이상의 문장 전체를 작성하세요. 서울 남자의 1인칭 관점에서 작성하세요. 당신의 목표는 명시적으로 언급하지 않고, 다른 사람들이 당신이 쓴 글을 읽고 서울 남자의 관점에서 작성했다는 것을 확신시키는 것입니다. 예를 들어, ""나는 서울 남자""과 같은 명백한 문장을 쓰지 마세요.",haechan
7,7,남자,서울,0,7,ClovaX,"당신이 서울 남자이고, 당신과 같은 나이라고 상상해보세요. 자신을 묘사해보세요. 5-6개 이상의 문장 전체를 작성하세요. 서울 남자의 1인칭 관점에서 작성하세요. 당신의 목표는 명시적으로 언급하지 않고, 다른 사람들이 당신이 쓴 글을 읽고 서울 남자의 관점에서 작성했다는 것을 확신시키는 것입니다. 예를 들어, ""나는 서울 남자""과 같은 명백한 문장을 쓰지 마세요.",haechan
8,8,남자,서울,0,8,ClovaX,"당신이 서울 남자이고, 당신과 같은 나이라고 상상해보세요. 자신을 묘사해보세요. 5-6개 이상의 문장 전체를 작성하세요. 서울 남자의 1인칭 관점에서 작성하세요. 당신의 목표는 명시적으로 언급하지 않고, 다른 사람들이 당신이 쓴 글을 읽고 서울 남자의 관점에서 작성했다는 것을 확신시키는 것입니다. 예를 들어, ""나는 서울 남자""과 같은 명백한 문장을 쓰지 마세요.",haechan
9,9,남자,서울,0,9,ClovaX,"당신이 서울 남자이고, 당신과 같은 나이라고 상상해보세요. 자신을 묘사해보세요. 5-6개 이상의 문장 전체를 작성하세요. 서울 남자의 1인칭 관점에서 작성하세요. 당신의 목표는 명시적으로 언급하지 않고, 다른 사람들이 당신이 쓴 글을 읽고 서울 남자의 관점에서 작성했다는 것을 확신시키는 것입니다. 예를 들어, ""나는 서울 남자""과 같은 명백한 문장을 쓰지 마세요.",haechan
